ORNL DAAC MODIS MOD13Q1 Subsets and Visualization,,,,,,,,,,,,,,,
Centered on Latitude [31.937769] Longitude [-109.08029],,,,,,,,,,,,,,,
Approximately 2.25 Kilometers [9 Pixels] Wide and 2.25 Kilometers [9 Pixels] High ,,,,,,,,,,,,,,,
Requested Time Span February. 18,  2000 (A2000049) to May. 25,  2014 (A2014145) ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Statistics for Pixels Passing Quality Filter [Scaled Values],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,julianday,product,band,stddev,mode,mean,median,min,max,range,sum,variance,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
2000,49,MOD13Q1,250m_16_days_NDVI,0.0042,0.1603,0.1584,0.1579,0.1487,0.1662,0.0175,12.8288,0,81,81,100
2000,65,MOD13Q1,250m_16_days_NDVI,0.0045,0.1559,0.157,0.1561,0.1461,0.1771,0.031,12.7131,0,81,81,100
2000,81,MOD13Q1,250m_16_days_NDVI,0.0041,0.1524,0.1537,0.1535,0.1451,0.1651,0.02,12.449,0,81,81,100
2000,97,MOD13Q1,250m_16_days_NDVI,0.0039,0.1484,0.149,0.1482,0.1398,0.1582,0.0184,12.0675,0,81,81,100
2000,113,MOD13Q1,250m_16_days_NDVI,0.0036,0.1416,0.1417,0.1411,0.1331,0.1506,0.0175,11.4764,0,81,81,100
2000,129,MOD13Q1,250m_16_days_NDVI,0.0039,0.1481,0.1459,0.1454,0.1391,0.1541,0.015,11.8202,0,81,81,100
2000,145,MOD13Q1,250m_16_days_NDVI,0.0043,0.1473,0.1452,0.1449,0.1373,0.1589,0.0216,11.7643,0,81,81,100
2000,161,MOD13Q1,250m_16_days_NDVI,0.0052,0.1444,0.1441,0.1433,0.1342,0.1613,0.0271,11.6717,0,81,81,100
2000,177,MOD13Q1,250m_16_days_NDVI,0.0165,0.2019,0.1975,0.1973,0.1566,0.2277,0.0711,15.9996,0.0003,81,81,100
2000,193,MOD13Q1,250m_16_days_NDVI,0.0257,0.2152,0.2268,0.2203,0.1816,0.2797,0.0981,18.3716,0.0007,81,81,100
2000,209,MOD13Q1,250m_16_days_NDVI,0.0086,0.1927,0.1882,0.1879,0.1693,0.2105,0.0412,15.2404,0.0001,81,81,100
2000,225,MOD13Q1,250m_16_days_NDVI,0.013,0.17,0.1708,0.1723,0.1454,0.205,0.0596,13.8315,0.0002,81,81,100
2000,241,MOD13Q1,250m_16_days_NDVI,0.0163,0.191,0.1857,0.1824,0.1538,0.2319,0.0781,15.0401,0.0003,81,81,100
2000,257,MOD13Q1,250m_16_days_NDVI,0.0087,0.1673,0.1684,0.1673,0.1523,0.1863,0.034,13.6419,0.0001,81,81,100
2000,273,MOD13Q1,250m_16_days_NDVI,0.009,0.1554,0.1577,0.1565,0.1397,0.1845,0.0448,12.7724,0.0001,81,81,100
2000,289,MOD13Q1,250m_16_days_NDVI,0.0122,0.1751,0.1782,0.1762,0.1509,0.219,0.0681,14.4313,0.0001,81,81,100
