"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2022-04-07",1,2022,552,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,20.2556232791809,11,29,217,554,2355
"2022-04-07",3,2022,553,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,20.2109495036684,10,32,217,554,2355
"2022-04-07",4,2022,554,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,20.0576482021364,9,34,217,554,2355
"2022-04-07",4,2022,555,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,19.3133687890618,7,33,217,554,2355
"2022-04-07",5,2022,556,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,18.3311043592361,7,33,217,554,2355
"2022-04-07",6,2022,557,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,17.0950506051158,6,31,217,554,2355
"2022-04-07",7,2022,558,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,15.9224118488083,5,29,217,554,2355
"2022-04-07",8,2022,559,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,15.1377274278007,5,27,217,554,2355
"2022-04-07",9,2022,560,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,15.3655912668433,4,29,217,554,2355
"2022-04-07",10,2022,561,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,16.0045604526508,4,30,217,554,2355
"2022-04-07",11,2022,562,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,16.8744989597217,4,31,217,554,2355
"2022-04-07",12,2022,563,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,17.6630525870762,5,33,217,554,2355
"2022-04-07",1,2023,564,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,18.1774846437785,5,33,217,554,2355
"2022-04-07",2,2023,565,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,18.3695397305565,5,34,217,554,2355
"2022-04-07",3,2023,566,"abundance","pevGARCH","dm_controls_interp","DM",89,0.95,18.5303504115766,5,34,217,554,2355
