"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2022-07-07",4,2022,555,"abundance","jags_logistic","dm_controls","DM",21.15,12.581,30.108,102,0.95,217,557,2656
"2022-07-07",5,2022,556,"abundance","jags_logistic","dm_controls","DM",34.089,0.184,121.268,102,0.95,217,557,2656
"2022-07-07",6,2022,557,"abundance","jags_logistic","dm_controls","DM",43.145,1.489,196.9,102,0.95,217,557,2656
"2022-07-07",7,2022,558,"abundance","jags_logistic","dm_controls","DM",48.356,0.808,196.9,102,0.95,217,557,2656
"2022-07-07",8,2022,559,"abundance","jags_logistic","dm_controls","DM",50.129,0.496,196.9,102,0.95,217,557,2656
"2022-07-07",9,2022,560,"abundance","jags_logistic","dm_controls","DM",50.558,0.288,196.9,102,0.95,217,557,2656
"2022-07-07",10,2022,561,"abundance","jags_logistic","dm_controls","DM",50.559,0.163,196.9,102,0.95,217,557,2656
"2022-07-07",11,2022,562,"abundance","jags_logistic","dm_controls","DM",49.751,0.091,196.9,102,0.95,217,557,2656
"2022-07-07",12,2022,563,"abundance","jags_logistic","dm_controls","DM",49.242,0.036,196.9,102,0.95,217,557,2656
"2022-07-07",1,2023,564,"abundance","jags_logistic","dm_controls","DM",48.123,0.004,196.9,102,0.95,217,557,2656
"2022-07-07",2,2023,565,"abundance","jags_logistic","dm_controls","DM",47.075,0,196.9,102,0.95,217,557,2656
"2022-07-07",3,2023,566,"abundance","jags_logistic","dm_controls","DM",46.223,0,196.9,102,0.95,217,557,2656
"2022-07-07",4,2023,567,"abundance","jags_logistic","dm_controls","DM",44.777,0,196.9,102,0.95,217,557,2656
"2022-07-07",5,2023,568,"abundance","jags_logistic","dm_controls","DM",44.147,0,196.9,102,0.95,217,557,2656
"2022-07-07",6,2023,569,"abundance","jags_logistic","dm_controls","DM",42.958,0,196.9,102,0.95,217,557,2656
