"mintemp","maxtemp","meantemp","precipitation","newmoonnumber","ndvi","source"
6.1,43.9,28.7758620689655,77.724,50,0.2875,"hist"
11.1,39.4,24.0793103448276,71.12,51,0.372,"hist"
8.3,40.6,24.0066666666667,23.114,52,0.4565,"hist"
8.3,37.8,19.3655172413793,53.848,53,0.383,"hist"
-3.9,34.4,14.63,29.972,54,0.3245,"hist"
-2,33.9,7.94333333333333,1.016,55,0.2555,"hist"
-4.5,22,4.90333333333333,33.528,56,0.258,"hist"
-6.5,19,4.26551724137931,25.146,57,0.1975,"hist"
-6,24,6.92333333333333,6.858,58,0.2295,"hist"
-4,25,11.59,25.908,59,0.3245,"hist"
-1.7,27.5,17.0068965517241,4.572,60,0.4235,"hist"
5,32,20.7965517241379,9.652,61,0.362,"hist"
8.5,35.5,27.4233333333333,1.016,62,0.3125,"hist"
8.9,37.5,27.1896551724138,25.4,63,0.2745,"hist"
15,35,23.9689655172414,41.148,64,0.3485,"hist"
10,36,22.39,96.52,65,0.3325,"hist"
2,34,17.448275862069,13.716,66,0.344,"hist"
-2.5,29,11.4733333333333,21.336,67,0.2325,"hist"
-4,113,4.33666666666667,128.734,68,0.186,"hist"
-15,18,0.424137931034483,57.664,69,0.1795,"hist"
-7,17.5,5.13333333333333,30.24,70,0.1935,"hist"
-6.7,21.5,10.0896551724138,12.954,71,0.241,"hist"
-4,24,9.06,30.226,72,0.323,"hist"
-3.5,28,18.8827586206897,0,73,0.319,"hist"
4,33,23.3310344827586,0.254,74,0.289,"hist"
10.5,37,27.8133333333333,30.988,75,0.2945,"hist"
14,34.5,24.9965517241379,61.214,76,0.3115,"hist"
15.6,36,23.4586206896552,5.08,77,0.271,"hist"
12.5,34.5,19.1689655172414,193.13,78,0.3215,"hist"
8,28.5,13.3586206896552,41.148,79,0.341,"hist"
-5.6,23,6.79666666666667,49.276,80,0.2865,"hist"
-5,21,4.96206896551724,8.636,81,0.266,"hist"
-4.5,18,4.43666666666667,21.128,82,0.3165,"hist"
-4.5,21,7.88333333333333,0,83,0.362,"hist"
-6,24,13.6333333333333,0,84,0.3805,"hist"
1,28,17.3758620689655,3.556,85,0.36275,"hist"
1.1,35.5,25.83,2.54,86,0.345,"hist"
8.9,34,24.4793103448276,21.336,87,0.275,"hist"
