"period","BA","DM","DO","DS","NA.","OL","OT","PB","PE","PF","PH","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber","year","month"
203,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,217,1995,1
204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,218,1995,1
205,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,219,1995,3
206,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,220,1995,3
207,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,221,1995,4
208,0,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,222,1995,5
209,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,223,1995,6
210,0,23,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,27,224,1995,7
211,0,17,0,0,0,2,1,0,0,2,0,0,0,5,0,0,0,0,0,0,27,225,1995,8
212,0,19,1,0,0,0,2,0,0,8,0,0,0,8,0,0,0,0,0,0,38,226,1995,9
213,0,20,0,0,0,0,1,0,0,11,0,0,0,5,0,1,0,0,0,0,38,227,1995,10
214,0,21,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0,0,0,30,228,1995,11
215,0,16,0,0,0,0,4,0,0,5,0,0,0,1,0,1,0,0,0,0,27,229,1995,12
216,0,23,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,30,230,1996,1
217,0,19,1,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,29,231,1996,2
218,0,10,2,0,0,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,19,232,1996,3
219,0,25,5,0,0,0,0,0,0,8,0,0,2,2,0,5,0,0,0,0,47,233,1996,4
220,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,234,1996,5
221,0,18,3,0,0,1,0,0,0,7,0,0,2,3,0,0,0,0,0,0,34,235,1996,6
222,0,12,1,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,23,236,1996,7
223,0,9,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,20,237,1996,8
224,0,17,2,0,0,0,4,0,0,7,0,0,0,5,0,0,0,0,0,0,35,238,1996,9
225,0,19,1,0,0,0,6,0,0,6,0,0,0,2,0,0,0,0,0,0,34,239,1996,10
226,0,19,1,0,0,0,2,0,0,7,0,0,1,0,0,1,0,0,0,0,31,240,1996,11
227,0,20,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,26,241,1996,12
228,0,36,5,0,0,0,6,0,0,4,0,1,2,0,0,4,0,0,0,0,58,243,1997,2
