"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2019-10-18","abundance","AutoArima","All","BA",1468.96571495353,217,523,523
"2019-10-18","abundance","AutoArima","All","DM",2062.47450704314,217,523,523
"2019-10-18","abundance","AutoArima","All","DO",1807.62985666876,217,523,523
"2019-10-18","abundance","AutoArima","All","DS",289.794848349224,217,523,523
"2019-10-18","abundance","AutoArima","All","NA",1130.33592479229,217,523,523
"2019-10-18","abundance","AutoArima","All","OL",1204.18640252091,217,523,523
"2019-10-18","abundance","AutoArima","All","OT",1867.17555480968,217,523,523
"2019-10-18","abundance","AutoArima","All","PB",2390.79713308216,217,523,523
"2019-10-18","abundance","AutoArima","All","PE",1597.35280085722,217,523,523
"2019-10-18","abundance","AutoArima","All","PF",1731.84996764988,217,523,523
"2019-10-18","abundance","AutoArima","All","PH",-27.3260516792698,217,523,523
"2019-10-18","abundance","AutoArima","All","PL",803.975846381454,217,523,523
"2019-10-18","abundance","AutoArima","All","PM",1385.06971369373,217,523,523
"2019-10-18","abundance","AutoArima","All","PP",2807.69817680411,217,523,523
"2019-10-18","abundance","AutoArima","All","RF",-345.035712886535,217,523,523
"2019-10-18","abundance","AutoArima","All","RM",1884.48689955423,217,523,523
"2019-10-18","abundance","AutoArima","All","RO",748.903705636812,217,523,523
"2019-10-18","abundance","AutoArima","All","SF",1274.97407560536,217,523,523
"2019-10-18","abundance","AutoArima","All","SH",1273.60399634947,217,523,523
"2019-10-18","abundance","AutoArima","All","SO",-210.366053879381,217,523,523
"2019-10-18","abundance","AutoArima","All","total",3094.43247940799,217,523,523
"2019-10-18","abundance","AutoArima","Controls","BA",563.742117103151,217,523,523
"2019-10-18","abundance","AutoArima","Controls","DM",1664.80002529632,217,523,523
"2019-10-18","abundance","AutoArima","Controls","DO",1263.68068080191,217,523,523
"2019-10-18","abundance","AutoArima","Controls","DS",98.6953356867144,217,523,523
"2019-10-18","abundance","AutoArima","Controls","NA",214.402623841996,217,523,523
"2019-10-18","abundance","AutoArima","Controls","OL",620.177300825602,217,523,523
