"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-04-28",4,2022,"abundance","nbGARCH",92,0.95,"controls","PB",1.59210905094861,0,4,"2423.8",2423,NA,554,217,554,554,566,0,NA,NA
"2022-04-28",4,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.03234141000579,0,6,"2423.8",2423,NA,555,217,554,554,566,1,NA,NA
"2022-04-28",5,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.35575197863234,0,7,"2423.8",2423,NA,556,217,554,554,566,2,NA,NA
"2022-04-28",6,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.59156647542032,0,8,"2423.8",2423,NA,557,217,554,554,566,3,NA,NA
"2022-04-28",7,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.76266442953018,0,9,"2423.8",2423,NA,558,217,554,554,566,4,NA,NA
"2022-04-28",8,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.77862685898305,0,8,"2423.8",2423,NA,559,217,554,554,566,5,NA,NA
"2022-04-28",9,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.78972257355819,0,9,"2423.8",2423,NA,560,217,554,554,566,6,NA,NA
"2022-04-28",10,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.80401039232521,0,8,"2423.8",2423,NA,561,217,554,554,566,7,NA,NA
"2022-04-28",11,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.81359730984816,0,8,"2423.8",2423,NA,562,217,554,554,566,8,NA,NA
"2022-04-28",12,2022,"abundance","nbGARCH",92,0.95,"controls","PB",2.99559262594924,0,8,"2423.8",2423,NA,563,217,554,554,566,9,NA,NA
"2022-04-28",1,2023,"abundance","nbGARCH",92,0.95,"controls","PB",3.06109038146279,0,9,"2423.8",2423,NA,564,217,554,554,566,10,NA,NA
"2022-04-28",2,2023,"abundance","nbGARCH",92,0.95,"controls","PB",2.99225555035928,0,9,"2423.8",2423,NA,565,217,554,554,566,11,NA,NA
"2022-04-28",3,2023,"abundance","nbGARCH",92,0.95,"controls","PB",3.05868354227523,0,10,"2423.8",2423,NA,566,217,554,554,566,12,NA,NA
