"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-09",2,2023,"abundance","jags_logistic_competition_covariates","controls","DM",19.016,13.469,24.817,118,0.95,"3006.1",3006,NA,565,217,564,565,576,1,NA,NA
"2023-02-09",3,2023,"abundance","jags_logistic_competition_covariates","controls","DM",18.785,11.991,26.347,118,0.95,"3006.1",3006,NA,566,217,564,565,576,2,NA,NA
"2023-02-09",4,2023,"abundance","jags_logistic_competition_covariates","controls","DM",18.366,10.459,26.773,118,0.95,"3006.1",3006,NA,567,217,564,565,576,3,NA,NA
"2023-02-09",5,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.962,9.57,27.557,118,0.95,"3006.1",3006,NA,568,217,564,565,576,4,NA,NA
"2023-02-09",6,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.599,8.498,27.991,118,0.95,"3006.1",3006,NA,569,217,564,565,576,5,NA,NA
"2023-02-09",7,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.128,7.782,27.913,118,0.95,"3006.1",3006,NA,570,217,564,565,576,6,NA,NA
"2023-02-09",8,2023,"abundance","jags_logistic_competition_covariates","controls","DM",16.071,7.306,26.419,118,0.95,"3006.1",3006,NA,571,217,564,565,576,7,NA,NA
"2023-02-09",9,2023,"abundance","jags_logistic_competition_covariates","controls","DM",14.97,6.611,25.066,118,0.95,"3006.1",3006,NA,572,217,564,565,576,8,NA,NA
"2023-02-09",10,2023,"abundance","jags_logistic_competition_covariates","controls","DM",14.001,5.967,23.949,118,0.95,"3006.1",3006,NA,573,217,564,565,576,9,NA,NA
"2023-02-09",11,2023,"abundance","jags_logistic_competition_covariates","controls","DM",13.457,5.73,23.687,118,0.95,"3006.1",3006,NA,574,217,564,565,576,10,NA,NA
"2023-02-09",12,2023,"abundance","jags_logistic_competition_covariates","controls","DM",13.097,5.138,23.193,118,0.95,"3006.1",3006,NA,575,217,564,565,576,11,NA,NA
"2023-02-09",1,2024,"abundance","jags_logistic_competition_covariates","controls","DM",12.816,4.93,22.869,118,0.95,"3006.1",3006,NA,576,217,564,565,576,12,NA,NA
