"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2022-12-01",11,2022,562,"abundance","jags_logistic","dm_controls","DM",13.213,9.121,17.775,118,0.95,217,562,3009
"2022-12-01",12,2022,563,"abundance","jags_logistic","dm_controls","DM",13.478,8.205,19.144,118,0.95,217,562,3009
"2022-12-01",1,2023,564,"abundance","jags_logistic","dm_controls","DM",13.738,7.651,20.593,118,0.95,217,562,3009
"2022-12-01",2,2023,565,"abundance","jags_logistic","dm_controls","DM",13.944,7.13,21.471,118,0.95,217,562,3009
"2022-12-01",3,2023,566,"abundance","jags_logistic","dm_controls","DM",14.123,6.806,22.302,118,0.95,217,562,3009
"2022-12-01",4,2023,567,"abundance","jags_logistic","dm_controls","DM",14.29,6.543,23.098,118,0.95,217,562,3009
"2022-12-01",5,2023,568,"abundance","jags_logistic","dm_controls","DM",14.446,6.333,23.617,118,0.95,217,562,3009
"2022-12-01",6,2023,569,"abundance","jags_logistic","dm_controls","DM",14.57,6.23,24.134,118,0.95,217,562,3009
"2022-12-01",7,2023,570,"abundance","jags_logistic","dm_controls","DM",14.688,6.115,24.738,118,0.95,217,562,3009
"2022-12-01",8,2023,571,"abundance","jags_logistic","dm_controls","DM",14.804,5.906,25.139,118,0.95,217,562,3009
"2022-12-01",9,2023,572,"abundance","jags_logistic","dm_controls","DM",14.879,5.595,25.294,118,0.95,217,562,3009
"2022-12-01",10,2023,573,"abundance","jags_logistic","dm_controls","DM",14.987,5.524,25.725,118,0.95,217,562,3009
"2022-12-01",11,2023,574,"abundance","jags_logistic","dm_controls","DM",15.075,5.394,26.112,118,0.95,217,562,3009
