"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","BA",118,0.95,0.151513079579399,0,1,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","BA",118,0.95,0.155773372928279,0,1,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","BA",118,0.95,0.16768946811221,0,1,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","BA",118,0.95,0.214091522931143,0,1,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","BA",118,0.95,0.260911822147908,0,2,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","BA",118,0.95,0.276087491796758,0,2,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","BA",118,0.95,0.352662889935914,0,2,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","BA",118,0.95,0.437479288772638,0,2,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","BA",118,0.95,0.424234815569613,0,2,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","BA",118,0.95,0.350172796106368,0,2,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","BA",118,0.95,0.36085822545051,0,2,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","BA",118,0.95,0.284339900311101,0,2,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","BA",118,0.95,0.226488452822368,0,1,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","BA",118,0.95,0.216403908002783,0,2,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","DM",118,0.95,14.130176324205,7,22,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","DM",118,0.95,15.3146117540559,6,27,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","DM",118,0.95,16.3672677896055,6,29,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","DM",118,0.95,16.9090442755766,5,32,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","DM",118,0.95,17.277107750316,6,31,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","DM",118,0.95,16.9584871840455,5,31,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","DM",118,0.95,15.9695738599974,4,30,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","DM",118,0.95,15.1631137594128,4,29,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","DM",118,0.95,14.8165895843615,4,28,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","DM",118,0.95,14.8071696540554,4,29,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","DM",118,0.95,15.2751331738493,4,29,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","DM",118,0.95,16.1213121696089,4,30,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","DM",118,0.95,17.117040798881,5,32,217,563,3018
