"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","AutoArima","exclosures","PF",0.95,0,-3.47028206330661,3.47028206330661,2804,"2804.09",,559,2022-08-25,8,2022,109,217,558,559,570,1,,
"abundance","AutoArima","exclosures","PF",0.95,0,-4.18567218974481,4.18567218974481,2804,"2804.09",,560,2022-08-25,9,2022,109,217,558,559,570,2,,
"abundance","AutoArima","exclosures","PF",0.95,0,-4.9854205033871,4.9854205033871,2804,"2804.09",,561,2022-08-25,10,2022,109,217,558,559,570,3,,
"abundance","AutoArima","exclosures","PF",0.95,0,-5.61733008199608,5.61733008199608,2804,"2804.09",,562,2022-08-25,11,2022,109,217,558,559,570,4,,
"abundance","AutoArima","exclosures","PF",0.95,0,-6.20143993023383,6.20143993023383,2804,"2804.09",,563,2022-08-25,12,2022,109,217,558,559,570,5,,
"abundance","AutoArima","exclosures","PF",0.95,0,-6.73013567782709,6.73013567782709,2804,"2804.09",,564,2022-08-25,1,2023,109,217,558,559,570,6,,
"abundance","AutoArima","exclosures","PF",0.95,0,-7.22172022477954,7.22172022477954,2804,"2804.09",,565,2022-08-25,2,2023,109,217,558,559,570,7,,
"abundance","AutoArima","exclosures","PF",0.95,0,-7.68145215007255,7.68145215007255,2804,"2804.09",,566,2022-08-25,3,2023,109,217,558,559,570,8,,
"abundance","AutoArima","exclosures","PF",0.95,0,-8.11532299571245,8.11532299571245,2804,"2804.09",,567,2022-08-25,4,2023,109,217,558,559,570,9,,
"abundance","AutoArima","exclosures","PF",0.95,0,-8.52710266360495,8.52710266360495,2804,"2804.09",,568,2022-08-25,5,2023,109,217,558,559,570,10,,
"abundance","AutoArima","exclosures","PF",0.95,0,-8.91990671474214,8.91990671474214,2804,"2804.09",,569,2022-08-25,6,2023,109,217,558,559,570,11,,
"abundance","AutoArima","exclosures","PF",0.95,0,-9.29612351954827,9.29612351954827,2804,"2804.09",,570,2022-08-25,7,2023,109,217,558,559,570,12,,
