"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbsGARCH",0.95,"controls","DM",12.6872930163979,7,20,2929,2929.01,NA,559,2022-09-29,8,2022,114,217,560,559,572,-1,NA,NA
"2","abundance","nbsGARCH",0.95,"controls","DM",12.8641260216745,5,22,2929,2929.01,NA,560,2022-09-29,9,2022,114,217,560,559,572,0,NA,NA
"3","abundance","nbsGARCH",0.95,"controls","DM",13.5246542327951,4,26,2929,2929.01,NA,561,2022-09-29,10,2022,114,217,560,559,572,1,NA,NA
"4","abundance","nbsGARCH",0.95,"controls","DM",14.63499175306,5,28,2929,2929.01,NA,562,2022-09-29,11,2022,114,217,560,559,572,2,NA,NA
"5","abundance","nbsGARCH",0.95,"controls","DM",15.952405423626,5,30,2929,2929.01,NA,563,2022-09-29,12,2022,114,217,560,559,572,3,NA,NA
"6","abundance","nbsGARCH",0.95,"controls","DM",17.1766534682293,5,33,2929,2929.01,NA,564,2022-09-29,1,2023,114,217,560,559,572,4,NA,NA
"7","abundance","nbsGARCH",0.95,"controls","DM",17.9672220503208,5,34,2929,2929.01,NA,565,2022-09-29,2,2023,114,217,560,559,572,5,NA,NA
"8","abundance","nbsGARCH",0.95,"controls","DM",18.1026660685966,5,34,2929,2929.01,NA,566,2022-09-29,3,2023,114,217,560,559,572,6,NA,NA
"9","abundance","nbsGARCH",0.95,"controls","DM",17.4920040609358,5,33,2929,2929.01,NA,567,2022-09-29,4,2023,114,217,560,559,572,7,NA,NA
"10","abundance","nbsGARCH",0.95,"controls","DM",16.4021738237808,5,32,2929,2929.01,NA,568,2022-09-29,5,2023,114,217,560,559,572,8,NA,NA
"11","abundance","nbsGARCH",0.95,"controls","DM",15.170428164271,4,29,2929,2929.01,NA,569,2022-09-29,6,2023,114,217,560,559,572,9,NA,NA
"12","abundance","nbsGARCH",0.95,"controls","DM",14.130139765847,3,27,2929,2929.01,NA,570,2022-09-29,7,2023,114,217,560,559,572,10,NA,NA
"13","abundance","nbsGARCH",0.95,"controls","DM",13.5004955633146,3,27,2929,2929.01,NA,571,2022-09-29,8,2023,114,217,560,559,572,11,NA,NA
"14","abundance","nbsGARCH",0.95,"controls","DM",13.3821513320096,3,27,2929,2929.01,NA,572,2022-09-29,9,2023,114,217,560,559,572,12,NA,NA
