"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","pGARCH","all","OT",12.711011722142265,7,20,217,567,568,580,0.95,126,,3500
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","pGARCH","all","OT",13.390027847603529,6,24,217,567,568,580,0.95,126,,3500
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","pGARCH","all","OT",14.54452707096449,5,27,217,567,568,580,0.95,126,,3500
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","pGARCH","all","OT",15.68379167148355,4,32,217,567,568,580,0.95,126,,3500
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","pGARCH","all","OT",16.186178994603107,3,32,217,567,568,580,0.95,126,,3500
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","pGARCH","all","OT",16.300629590943664,3,33,217,567,568,580,0.95,126,,3500
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","pGARCH","all","OT",15.323037131255141,3,32,217,567,568,580,0.95,126,,3500
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","pGARCH","all","OT",13.81764567669438,2,29,217,567,568,580,0.95,126,,3500
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","pGARCH","all","OT",12.76032775534658,2,28,217,567,568,580,0.95,126,,3500
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","pGARCH","all","OT",12.210041689614984,1,28,217,567,568,580,0.95,126,,3500
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","pGARCH","all","OT",11.591809696529857,1,28,217,567,568,580,0.95,126,,3500
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","pGARCH","all","OT",10.89088578372503,1,28,217,567,568,580,0.95,126,,3500
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","pGARCH","all","OT",10.506764775196135,1,26,217,567,568,580,0.95,126,,3500
