"model","dataset","species","fit_successful"
"AutoArima","all","BA",true
"AutoArima","all","DM",true
"AutoArima","all","DO",true
"AutoArima","all","DS",true
"AutoArima","all","NA",true
"AutoArima","all","OL",true
"AutoArima","all","OT",true
"AutoArima","all","PB",true
"AutoArima","all","PE",true
"AutoArima","all","PF",true
"AutoArima","all","PL",true
"AutoArima","all","PM",true
"AutoArima","all","PP",true
"AutoArima","all","RM",true
"AutoArima","all","RO",true
"AutoArima","all","SF",true
"AutoArima","all","SH",true
"AutoArima","all","total",true
"AutoArima","controls","BA",true
"AutoArima","controls","DM",true
"AutoArima","controls","DO",true
"AutoArima","controls","DS",true
"AutoArima","controls","NA",true
"AutoArima","controls","OL",true
"AutoArima","controls","OT",true
"AutoArima","controls","PB",true
"AutoArima","controls","PE",true
"AutoArima","controls","PF",true
"AutoArima","controls","PM",true
"AutoArima","controls","PP",true
"AutoArima","controls","RM",true
"AutoArima","controls","SF",true
"AutoArima","controls","SH",true
"AutoArima","controls","total",true
"AutoArima","exclosures","BA",true
"AutoArima","exclosures","NA",true
"AutoArima","exclosures","OL",true
"AutoArima","exclosures","OT",true
"AutoArima","exclosures","PB",true
"AutoArima","exclosures","PE",true
"AutoArima","exclosures","PF",true
"AutoArima","exclosures","PM",true
"AutoArima","exclosures","PP",true
"AutoArima","exclosures","RM",true
"AutoArima","exclosures","SF",true
"AutoArima","exclosures","SH",true
"AutoArima","exclosures","total",true
"sAutoArima","all","BA",true
"sAutoArima","all","DM",true
"sAutoArima","all","DO",true
"sAutoArima","all","DS",true
"sAutoArima","all","NA",true
"sAutoArima","all","OL",true
"sAutoArima","all","OT",true
"sAutoArima","all","PB",true
"sAutoArima","all","PE",true
"sAutoArima","all","PF",true
"sAutoArima","all","PL",true
"sAutoArima","all","PM",true
"sAutoArima","all","PP",true
"sAutoArima","all","RM",true
"sAutoArima","all","RO",true
"sAutoArima","all","SF",true
"sAutoArima","all","SH",true
"sAutoArima","all","total",true
"sAutoArima","controls","BA",true
"sAutoArima","controls","DM",true
"sAutoArima","controls","DO",true
"sAutoArima","controls","DS",true
"sAutoArima","controls","NA",true
"sAutoArima","controls","OL",true
"sAutoArima","controls","OT",true
"sAutoArima","controls","PB",true
"sAutoArima","controls","PE",true
"sAutoArima","controls","PF",true
"sAutoArima","controls","PM",true
"sAutoArima","controls","PP",true
"sAutoArima","controls","RM",true
"sAutoArima","controls","SF",true
"sAutoArima","controls","SH",true
"sAutoArima","controls","total",true
"sAutoArima","exclosures","BA",true
"sAutoArima","exclosures","NA",true
"sAutoArima","exclosures","OL",true
"sAutoArima","exclosures","OT",true
"sAutoArima","exclosures","PB",true
"sAutoArima","exclosures","PE",true
"sAutoArima","exclosures","PF",true
"sAutoArima","exclosures","PM",true
"sAutoArima","exclosures","PP",true
"sAutoArima","exclosures","RM",true
"sAutoArima","exclosures","SF",true
"sAutoArima","exclosures","SH",true
"sAutoArima","exclosures","total",true
"ESSS","all","BA",true
"ESSS","all","DM",true
"ESSS","all","DO",true
"ESSS","all","DS",true
"ESSS","all","NA",true
"ESSS","all","OL",true
"ESSS","all","OT",true
"ESSS","all","PB",true
"ESSS","all","PE",true
"ESSS","all","PF",true
"ESSS","all","PL",true
"ESSS","all","PM",true
"ESSS","all","PP",true
"ESSS","all","RM",true
"ESSS","all","RO",true
"ESSS","all","SF",true
"ESSS","all","SH",true
"ESSS","all","total",true
"ESSS","controls","BA",true
"ESSS","controls","DM",true
"ESSS","controls","DO",true
"ESSS","controls","DS",true
"ESSS","controls","NA",true
"ESSS","controls","OL",true
"ESSS","controls","OT",true
"ESSS","controls","PB",true
"ESSS","controls","PE",true
"ESSS","controls","PF",true
"ESSS","controls","PM",true
"ESSS","controls","PP",true
"ESSS","controls","RM",true
"ESSS","controls","SF",true
"ESSS","controls","SH",true
"ESSS","controls","total",true
"ESSS","exclosures","BA",true
"ESSS","exclosures","NA",true
"ESSS","exclosures","OL",true
"ESSS","exclosures","OT",true
"ESSS","exclosures","PB",true
"ESSS","exclosures","PE",true
"ESSS","exclosures","PF",true
"ESSS","exclosures","PM",true
"ESSS","exclosures","PP",true
"ESSS","exclosures","RM",true
"ESSS","exclosures","SF",true
"ESSS","exclosures","SH",true
"ESSS","exclosures","total",true
"NaiveArima","all","BA",true
"NaiveArima","all","DM",true
"NaiveArima","all","DO",true
"NaiveArima","all","DS",true
"NaiveArima","all","NA",true
"NaiveArima","all","OL",true
"NaiveArima","all","OT",true
"NaiveArima","all","PB",true
"NaiveArima","all","PE",true
"NaiveArima","all","PF",true
"NaiveArima","all","PL",true
"NaiveArima","all","PM",true
"NaiveArima","all","PP",true
"NaiveArima","all","RM",true
"NaiveArima","all","RO",true
"NaiveArima","all","SF",true
"NaiveArima","all","SH",true
"NaiveArima","all","total",true
"NaiveArima","controls","BA",true
"NaiveArima","controls","DM",true
"NaiveArima","controls","DO",true
"NaiveArima","controls","DS",true
"NaiveArima","controls","NA",true
"NaiveArima","controls","OL",true
"NaiveArima","controls","OT",true
"NaiveArima","controls","PB",true
"NaiveArima","controls","PE",true
"NaiveArima","controls","PF",true
"NaiveArima","controls","PM",true
"NaiveArima","controls","PP",true
"NaiveArima","controls","RM",true
"NaiveArima","controls","SF",true
"NaiveArima","controls","SH",true
"NaiveArima","controls","total",true
"NaiveArima","exclosures","BA",true
"NaiveArima","exclosures","NA",true
"NaiveArima","exclosures","OL",true
"NaiveArima","exclosures","OT",true
"NaiveArima","exclosures","PB",true
"NaiveArima","exclosures","PE",true
"NaiveArima","exclosures","PF",true
"NaiveArima","exclosures","PM",true
"NaiveArima","exclosures","PP",true
"NaiveArima","exclosures","RM",true
"NaiveArima","exclosures","SF",true
"NaiveArima","exclosures","SH",true
"NaiveArima","exclosures","total",true
"sNaiveArima","all","BA",true
"sNaiveArima","all","DM",true
"sNaiveArima","all","DO",true
"sNaiveArima","all","DS",true
"sNaiveArima","all","NA",true
"sNaiveArima","all","OL",true
"sNaiveArima","all","OT",true
"sNaiveArima","all","PB",true
"sNaiveArima","all","PE",true
"sNaiveArima","all","PF",true
"sNaiveArima","all","PL",true
"sNaiveArima","all","PM",true
"sNaiveArima","all","PP",true
"sNaiveArima","all","RM",true
"sNaiveArima","all","RO",true
"sNaiveArima","all","SF",true
"sNaiveArima","all","SH",true
"sNaiveArima","all","total",true
"sNaiveArima","controls","BA",true
"sNaiveArima","controls","DM",true
"sNaiveArima","controls","DO",true
"sNaiveArima","controls","DS",true
"sNaiveArima","controls","NA",true
"sNaiveArima","controls","OL",true
"sNaiveArima","controls","OT",true
"sNaiveArima","controls","PB",true
"sNaiveArima","controls","PE",true
"sNaiveArima","controls","PF",true
"sNaiveArima","controls","PM",true
"sNaiveArima","controls","PP",true
"sNaiveArima","controls","RM",true
"sNaiveArima","controls","SF",true
"sNaiveArima","controls","SH",true
"sNaiveArima","controls","total",true
"sNaiveArima","exclosures","BA",true
"sNaiveArima","exclosures","NA",true
"sNaiveArima","exclosures","OL",true
"sNaiveArima","exclosures","OT",true
"sNaiveArima","exclosures","PB",true
"sNaiveArima","exclosures","PE",true
"sNaiveArima","exclosures","PF",true
