"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2018-06-08","abundance","AutoArima","All","total",2936.42418504659,217,506,506
"2018-06-08","abundance","AutoArima","Controls","total",2167.00764928762,217,506,506
"2018-06-08","abundance","ESSS","All","total",3739.10576824977,217,506,506
"2018-06-08","abundance","ESSS","Controls","total",2993.21628462821,217,506,506
"2018-06-08","abundance","nbGARCH","All","BA",449.456069088415,217,506,506
"2018-06-08","abundance","nbGARCH","All","DM",1919.57439095033,217,506,506
"2018-06-08","abundance","nbGARCH","All","DO",1632.21785034286,217,506,506
"2018-06-08","abundance","nbGARCH","All","DS",334.097425358214,217,506,506
"2018-06-08","abundance","nbGARCH","All","NA",964.291512897878,217,506,506
"2018-06-08","abundance","nbGARCH","All","OL",955.028723578601,217,506,506
"2018-06-08","abundance","nbGARCH","All","OT",1599.2880358683,217,506,506
"2018-06-08","abundance","nbGARCH","All","PB",1901.1948571143,217,506,506
"2018-06-08","abundance","nbGARCH","All","PE",1298.2762237586,217,506,506
"2018-06-08","abundance","nbGARCH","All","PF",1151.86817173865,217,506,506
"2018-06-08","abundance","nbGARCH","All","PH",117.069786861578,217,506,506
"2018-06-08","abundance","nbGARCH","All","PL",430.567806965146,217,506,506
"2018-06-08","abundance","nbGARCH","All","PM",840.527704312136,217,506,506
"2018-06-08","abundance","nbGARCH","All","PP",2568.1854470096,217,506,506
"2018-06-08","abundance","nbGARCH","All","RF",63.8162246110125,217,506,506
"2018-06-08","abundance","nbGARCH","All","RM",3385.57360588808,217,506,506
"2018-06-08","abundance","nbGARCH","All","RO",328.782475100892,217,506,506
"2018-06-08","abundance","nbGARCH","All","SF",653.304617117733,217,506,506
"2018-06-08","abundance","nbGARCH","All","SH",633.233632781228,217,506,506
"2018-06-08","abundance","nbGARCH","All","SO",32.9651230940599,217,506,506
"2018-06-08","abundance","nbGARCH","All","total",2898.13145870433,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","BA",269.239681722928,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","DM",1565.74535579052,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","DO",1020.23437672019,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","DS",204.106440051599,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","NA",212.57879086526,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","OL",432.922832184603,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","OT",995.359096070887,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PB",859.649285796719,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PE",369.186150454057,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PF",592.249253384524,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PH",1e+06,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PL",48.1275334835433,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PM",262.251612070264,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","PP",1687.41280276769,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","RF",1e+06,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","RM",402.574117262504,217,506,506
"2018-06-08","abundance","nbGARCH","Controls","RO",84.1867127662424,217,506,506
