"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2018-08-03,8,2018,509,"abundance","AutoArima","All","total",129.764922213556,67.9111966548104,191.618647772302,217,508,508
2018-08-03,9,2018,510,"abundance","AutoArima","All","total",134.184003245955,44.3889088098788,223.979097682031,217,508,508
2018-08-03,10,2018,511,"abundance","AutoArima","All","total",138.926318061775,28.4954643459569,249.357171777593,217,508,508
2018-08-03,11,2018,512,"abundance","AutoArima","All","total",142.961466582139,19.7283330463269,266.19460011795,217,508,508
2018-08-03,12,2018,513,"abundance","AutoArima","All","total",146.394900298322,14.6671492633824,278.122651333261,217,508,508
2018-08-03,1,2019,514,"abundance","AutoArima","All","total",149.316345946216,11.7655004309023,286.867191461529,217,508,508
2018-08-03,2,2019,515,"abundance","AutoArima","All","total",151.802150356353,10.1847379361584,293.419562776547,217,508,508
2018-08-03,3,2019,516,"abundance","AutoArima","All","total",153.917275643694,9.42708011463398,298.407471172754,217,508,508
2018-08-03,4,2019,517,"abundance","AutoArima","All","total",155.716996877959,9.18205225450066,302.251941501417,217,508,508
2018-08-03,5,2019,518,"abundance","AutoArima","All","total",157.2483466001,9.25063427294634,305.246058927253,217,508,508
2018-08-03,6,2019,519,"abundance","AutoArima","All","total",158.551343934828,9.50354743101943,307.599140438636,217,508,508
2018-08-03,7,2019,520,"abundance","AutoArima","All","total",159.66004041987,9.85657718829859,309.463503651442,217,508,508
2018-08-03,8,2018,509,"abundance","AutoArima","Controls","total",28,11.2060536087491,44.7939463912509,217,508,508
2018-08-03,9,2018,510,"abundance","AutoArima","Controls","total",28,4.24977324772624,51.7502267522738,217,508,508
2018-08-03,10,2018,511,"abundance","AutoArima","Controls","total",28,-1.0879684092346,57.0879684092346,217,508,508
2018-08-03,11,2018,512,"abundance","AutoArima","Controls","total",28,-5.58789278250185,61.5878927825019,217,508,508
2018-08-03,12,2018,513,"abundance","AutoArima","Controls","total",28,-9.55240574132435,65.5524057413243,217,508,508
2018-08-03,1,2019,514,"abundance","AutoArima","Controls","total",28,-13.1365994262197,69.1365994262197,217,508,508
2018-08-03,2,2019,515,"abundance","AutoArima","Controls","total",28,-16.4326056826006,72.4326056826006,217,508,508
2018-08-03,3,2019,516,"abundance","AutoArima","Controls","total",28,-19.5004535045475,75.5004535045475,217,508,508
2018-08-03,4,2019,517,"abundance","AutoArima","Controls","total",28,-22.3818391737528,78.3818391737528,217,508,508
2018-08-03,5,2019,518,"abundance","AutoArima","Controls","total",28,-25.1071214991182,81.1071214991182,217,508,508
2018-08-03,6,2019,519,"abundance","AutoArima","Controls","total",28,-27.6992189291224,83.6992189291224,217,508,508
2018-08-03,7,2019,520,"abundance","AutoArima","Controls","total",28,-30.1759368184692,86.1759368184692,217,508,508
2018-08-03,8,2018,509,"abundance","ESSS","All","total",132.126072761962,81.7816677259252,182.470477797999,217,508,508
2018-08-03,9,2018,510,"abundance","ESSS","All","total",137.085612623579,64.2283862679005,209.942838979257,217,508,508
2018-08-03,10,2018,511,"abundance","ESSS","All","total",142.045152485195,50.1903853754058,233.899919594984,217,508,508
2018-08-03,11,2018,512,"abundance","ESSS","All","total",147.004692346811,37.6907528343542,256.318631859268,217,508,508
2018-08-03,12,2018,513,"abundance","ESSS","All","total",151.964232208427,25.9717266066396,277.956737810215,217,508,508
2018-08-03,1,2019,514,"abundance","ESSS","All","total",156.923772070043,14.6495946237598,299.197949516327,217,508,508
2018-08-03,2,2019,515,"abundance","ESSS","All","total",161.88331193166,3.49849532328983,320.26812854003,217,508,508
2018-08-03,3,2019,516,"abundance","ESSS","All","total",166.842851793276,-7.62825133006913,341.313954916621,217,508,508
2018-08-03,4,2019,517,"abundance","ESSS","All","total",171.802391654892,-18.8329523851735,362.437735694958,217,508,508
