"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2023-04-06",3,2023,566,"abundance","jags_logistic_covariates","controls","DM",21.824,15.992,28.319,124,0.95,217,566,3146
"2023-04-06",4,2023,567,"abundance","jags_logistic_covariates","controls","DM",21.604,13.833,30.122,124,0.95,217,566,3146
"2023-04-06",5,2023,568,"abundance","jags_logistic_covariates","controls","DM",21.393,12.514,31.412,124,0.95,217,566,3146
"2023-04-06",6,2023,569,"abundance","jags_logistic_covariates","controls","DM",21.216,11.168,32.233,124,0.95,217,566,3146
"2023-04-06",7,2023,570,"abundance","jags_logistic_covariates","controls","DM",21.062,10.387,33.027,124,0.95,217,566,3146
"2023-04-06",8,2023,571,"abundance","jags_logistic_covariates","controls","DM",20.953,9.853,33.584,124,0.95,217,566,3146
"2023-04-06",9,2023,572,"abundance","jags_logistic_covariates","controls","DM",20.835,9.071,34.148,124,0.95,217,566,3146
"2023-04-06",10,2023,573,"abundance","jags_logistic_covariates","controls","DM",20.686,8.891,35.254,124,0.95,217,566,3146
"2023-04-06",11,2023,574,"abundance","jags_logistic_covariates","controls","DM",20.499,8.773,35.547,124,0.95,217,566,3146
"2023-04-06",12,2023,575,"abundance","jags_logistic_covariates","controls","DM",20.313,8.136,35.157,124,0.95,217,566,3146
"2023-04-06",1,2024,576,"abundance","jags_logistic_covariates","controls","DM",20.133,7.912,35.047,124,0.95,217,566,3146
"2023-04-06",2,2024,577,"abundance","jags_logistic_covariates","controls","DM",19.994,7.84,35.092,124,0.95,217,566,3146
"2023-04-06",3,2024,578,"abundance","jags_logistic_covariates","controls","DM",19.891,7.636,35.409,124,0.95,217,566,3146
