"cast_date","cast_month","cast_year","moon","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","BA",0.195841434100875,0,2,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","BA",0.279048322384389,0,2,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","BA",0.304995230706117,0,2,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","BA",0.270894826399699,0,2,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","BA",0.20447288755469,0,2,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","BA",0.139724731418062,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","BA",0.0988468905342453,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","BA",0.0777297678678356,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","BA",0.0723239275398926,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","BA",0.0803008164892726,0,1,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","BA",0.102500984634436,0,1,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","BA",0.143924413943984,0,2,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","BA",0.202580589677415,0,2,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","DM",24.7175305256267,15,36,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","DM",22.733423954356,12,36,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","DM",20.4079926467474,9,35,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","DM",18.1573890243992,8,31,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","DM",16.3471750624512,6,29,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","DM",15.17783214672,5,29,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","DM",14.7013255818176,4,27,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","DM",14.895024673189,4,29,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","DM",15.6550887263555,4,30,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","DM",16.8010322873608,4,32,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","DM",18.0178106779439,4,33,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","DM",18.913584706327,5,35,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","DM",19.1838349179794,5,35,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","DO",4.28659918951478,1,9,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","DO",4.31288486677012,0,10,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","DO",4.06928109976163,0,11,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","DO",3.64463235690946,0,10,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","DO",3.18614245554473,0,10,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","DO",2.81659764346066,0,9,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","DO",2.59456251528508,0,8,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","DO",2.55613822187233,0,8,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","DO",2.68437039040935,0,8,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","DO",2.97903922228366,0,9,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","DO",3.39060300641888,0,11,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","DO",3.84104234048445,0,11,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","DO",4.2034115641601,0,13,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","DS",0.0737683708319261,0,1,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","DS",0.0753082545563481,0,1,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","DS",0.0801052661980417,0,1,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","DS",0.0940396477380175,0,1,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","DS",0.116681640846538,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","DS",0.147455386226984,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","DS",0.176632380598871,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","DS",0.193647572857291,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","DS",0.188453968771263,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","DS",0.163006132700745,0,1,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","DS",0.1310678728162,0,1,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","DS",0.102794658372145,0,1,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","DS",0.0846883880768393,0,1,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","OL",0.243042700925136,0,2,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","OL",0.238803407709274,0,2,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","OL",0.19866494622407,0,2,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","OL",0.175970375822707,0,1,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","OL",0.177684011855536,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","OL",0.20528089206141,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","OL",0.258932262883193,0,2,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","OL",0.342943081952624,0,2,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","OL",0.443915908572744,0,2,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","OL",0.532107903752127,0,3,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","OL",0.560496519471778,0,3,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","OL",0.505343095079154,0,3,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","OL",0.398633209450309,0,2,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","OT",6.21732918992871,2,12,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","OT",4.31422617034621,0,11,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","OT",3.2848402989638,0,9,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","OT",2.93596302721118,0,9,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","OT",2.90291314540122,0,9,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","OT",3.09895824577948,0,9,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","OT",3.41988569802473,0,11,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","OT",3.61283141648628,0,12,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","OT",3.45418798971078,0,11,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","OT",3.2124852650572,0,10,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","OT",2.87837242736156,0,9,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","OT",2.46692432556623,0,8,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","OT",2.00873596534561,0,7,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","PB",2.08073580843929,0,6,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","PB",1.59602738054168,0,6,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","PB",1.46040354314942,0,5,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","PB",1.6139390856511,0,6,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","PB",2.04036055332438,0,7,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","PB",2.80503679186531,0,9,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","PB",3.85912527692676,0,13,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PB",5.05168808912637,0,16,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","PB",5.89289145314143,0,19,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","PB",5.8243949614252,0,19,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","PB",4.84441749034983,0,15,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","PB",3.49888657449906,0,11,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","PB",2.4064104118566,0,8,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","PE",1.29626028037002,0,5,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","PE",0.636842745589917,0,3,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","PE",0.366289747885052,0,2,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","PE",0.244762945923826,0,2,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","PE",0.19047332700745,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","PE",0.171460869010917,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","PE",0.184045071838983,0,2,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PE",0.213090333751352,0,1,217,566,3179
