"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","BA",0.154,0.088,0.213,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","BA",0.154,0.087,0.213,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","BA",0.154,0.088,0.214,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","BA",0.154,0.087,0.214,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","BA",0.154,0.087,0.215,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","BA",0.154,0.087,0.216,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","BA",0.154,0.086,0.216,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","BA",0.154,0.086,0.216,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","BA",0.154,0.086,0.216,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","BA",0.154,0.086,0.217,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","BA",0.154,0.085,0.217,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","BA",0.154,0.085,0.218,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","BA",0.154,0.085,0.218,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","BA",0.154,0.086,0.219,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","DM",6.607,2.293,11.355,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","DM",11.675,0,40.371,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","DM",17.939,0,78.478,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","DM",23.926,0,134.704,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","DM",28.085,0,182.294,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","DM",31.35,0.015,196.9,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","DM",33.986,0,196.9,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","DM",36.104,0,196.9,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","DM",36.9,0,196.9,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","DM",37.38,0,196.9,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","DM",37.846,0,196.9,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","DM",37.883,0,196.9,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","DM",38.169,0,196.9,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","DM",38.408,0,196.9,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","DO",0.139,0,0.575,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","DO",0.185,0,0.814,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","DO",0.246,0,1.078,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","DO",0.318,0,1.403,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","DO",0.416,0,1.78,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","DO",0.531,0,2.189,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","DO",0.657,0,2.562,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","DO",0.839,0,3.157,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","DO",1.044,0,3.695,217,525,74,4,0.95
