"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2017-11-20,11,2017,500,"abundance","NegBinom Time Series","Controls","BA",0.160160999527318,0,1,217,499,499
2017-11-20,12,2017,501,"abundance","NegBinom Time Series","Controls","BA",0.184971250262179,0,1,217,499,499
2017-11-20,1,2018,502,"abundance","NegBinom Time Series","Controls","BA",0.188605675838756,0,1,217,499,499
2017-11-20,2,2018,503,"abundance","NegBinom Time Series","Controls","BA",0.189211218535283,0,1,217,499,499
2017-11-20,3,2018,504,"abundance","NegBinom Time Series","Controls","BA",0.189198803696483,0,1,217,499,499
2017-11-20,4,2018,505,"abundance","NegBinom Time Series","Controls","BA",0.189258911793328,0,1,217,499,499
2017-11-20,5,2018,506,"abundance","NegBinom Time Series","Controls","BA",0.189200975169456,0,1,217,499,499
2017-11-20,6,2018,507,"abundance","NegBinom Time Series","Controls","BA",0.188960611613427,0,1,217,499,499
2017-11-20,7,2018,508,"abundance","NegBinom Time Series","Controls","BA",0.189073051069371,0,1,217,499,499
2017-11-20,8,2018,509,"abundance","NegBinom Time Series","Controls","BA",0.188941032105445,0,1,217,499,499
2017-11-20,9,2018,510,"abundance","NegBinom Time Series","Controls","BA",0.188930097177134,0,1,217,499,499
2017-11-20,10,2018,511,"abundance","NegBinom Time Series","Controls","BA",0.188929588096615,0,1,217,499,499
2017-11-20,11,2017,500,"abundance","NegBinom Time Series","Controls","DM",12.2781207316013,6,19,217,499,499
2017-11-20,12,2017,501,"abundance","NegBinom Time Series","Controls","DM",13.278979663403,6,23,217,499,499
2017-11-20,1,2018,502,"abundance","NegBinom Time Series","Controls","DM",14.0403558629163,5,24,217,499,499
2017-11-20,2,2018,503,"abundance","NegBinom Time Series","Controls","DM",14.6318916876659,5,26,217,499,499
2017-11-20,3,2018,504,"abundance","NegBinom Time Series","Controls","DM",15.1120861282653,5,26,217,499,499
2017-11-20,4,2018,505,"abundance","NegBinom Time Series","Controls","DM",15.4757647990203,5,26,217,499,499
2017-11-20,5,2018,506,"abundance","NegBinom Time Series","Controls","DM",15.6864568077919,6,27,217,499,499
2017-11-20,6,2018,507,"abundance","NegBinom Time Series","Controls","DM",15.8847591397561,5,26,217,499,499
2017-11-20,7,2018,508,"abundance","NegBinom Time Series","Controls","DM",16.0242642885574,6,27,217,499,499
2017-11-20,8,2018,509,"abundance","NegBinom Time Series","Controls","DM",16.0803379538022,6,28,217,499,499
2017-11-20,9,2018,510,"abundance","NegBinom Time Series","Controls","DM",16.1109049534499,6,27,217,499,499
2017-11-20,10,2018,511,"abundance","NegBinom Time Series","Controls","DM",16.1432876063547,6,27,217,499,499
2017-11-20,11,2017,500,"abundance","NegBinom Time Series","Controls","DO",0.827661311666855,0,3,217,499,499
2017-11-20,12,2017,501,"abundance","NegBinom Time Series","Controls","DO",1.50181503260223,0,5,217,499,499
2017-11-20,1,2018,502,"abundance","NegBinom Time Series","Controls","DO",2.04217711160032,0,6,217,499,499
2017-11-20,2,2018,503,"abundance","NegBinom Time Series","Controls","DO",2.48749781134882,0,7,217,499,499
2017-11-20,3,2018,504,"abundance","NegBinom Time Series","Controls","DO",2.85495983012184,0,8,217,499,499
2017-11-20,4,2018,505,"abundance","NegBinom Time Series","Controls","DO",3.15279111575474,0,9,217,499,499
2017-11-20,5,2018,506,"abundance","NegBinom Time Series","Controls","DO",3.39757747105584,0,9,217,499,499
2017-11-20,6,2018,507,"abundance","NegBinom Time Series","Controls","DO",3.58306357000459,0,10,217,499,499
2017-11-20,7,2018,508,"abundance","NegBinom Time Series","Controls","DO",3.75269043562245,0,11,217,499,499
2017-11-20,8,2018,509,"abundance","NegBinom Time Series","Controls","DO",3.86935534565081,0,11,217,499,499
2017-11-20,9,2018,510,"abundance","NegBinom Time Series","Controls","DO",3.94929854086964,0,11,217,499,499
2017-11-20,10,2018,511,"abundance","NegBinom Time Series","Controls","DO",4.02132065286481,0,11,217,499,499
2017-11-20,11,2017,500,"abundance","NegBinom Time Series","Controls","DS",0.158644365735726,0,1,217,499,499
2017-11-20,12,2017,501,"abundance","NegBinom Time Series","Controls","DS",0.0922909823396156,0,1,217,499,499
2017-11-20,1,2018,502,"abundance","NegBinom Time Series","Controls","DS",0.099575830748029,0,1,217,499,499
