"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber"
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,217
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,218
0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,219
0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,220
0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,221
0,22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,222
0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,223
0,23,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,27,224
0,17,0,0,0,2,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,27,225
0,19,1,0,0,0,2,0,0,8,0,0,0,0,8,0,0,0,0,0,0,38,226
0,20,0,0,0,0,1,0,0,11,0,0,0,0,5,0,1,0,0,0,0,38,227
0,21,0,0,0,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,0,30,228
0,16,0,0,0,0,4,0,0,5,0,0,0,0,1,0,1,0,0,0,0,27,229
0,23,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,30,230
0,19,1,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,29,231
0,10,2,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,0,19,232
0,25,5,0,0,0,0,0,0,8,0,0,0,2,2,0,5,0,0,0,0,47,233
0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,234
0,18,3,0,0,1,0,0,0,7,0,0,0,2,3,0,0,0,0,0,0,34,235
0,12,1,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,23,236
0,9,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,20,237
0,17,2,0,0,0,4,0,0,7,0,0,0,0,5,0,0,0,0,0,0,35,238
0,19,1,0,0,0,6,0,0,6,0,0,0,0,2,0,0,0,0,0,0,34,239
0,19,1,0,0,0,2,0,0,7,0,0,0,1,0,0,1,0,0,0,0,31,240
0,20,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,26,241
0,36,5,0,0,0,6,0,0,4,0,0,1,2,0,0,4,0,0,0,0,58,243
0,40,3,0,0,0,4,0,0,6,0,0,0,2,1,0,5,0,0,0,0,61,244
0,29,3,0,0,0,8,0,0,5,0,0,0,3,7,0,3,0,0,0,0,58,245
0,25,4,0,0,0,7,1,1,3,0,0,0,2,7,0,0,0,0,0,0,50,246
0,29,2,0,1,0,5,2,0,4,0,0,0,3,8,0,0,0,0,0,0,54,247
0,23,5,0,0,0,6,2,0,5,0,0,0,5,8,0,0,0,0,0,0,54,248
0,22,2,0,2,0,3,1,0,4,0,0,0,0,4,0,0,0,0,0,0,38,249
0,19,4,0,1,0,7,2,0,3,0,0,0,4,0,0,0,0,0,0,0,40,251
0,24,2,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,36,252
0,24,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,253
0,22,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,254
0,28,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,255
0,31,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,256
0,20,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,258
0,31,1,0,2,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,41,259
0,16,2,0,1,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,29,260
0,16,1,0,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,0,0,28,261
0,14,1,0,0,0,2,1,0,1,0,0,0,1,8,0,0,0,0,0,0,28,262
0,16,4,0,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,34,263
0,17,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,264
0,21,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,265
0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,266
0,23,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,267
0,19,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,269
0,24,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,270
0,14,3,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,22,271
0,11,2,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,19,272
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,275
0,7,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,276
0,14,1,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,31,277
0,5,1,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,17,278
0,9,2,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,23,279
0,7,1,0,0,0,2,7,0,0,0,0,0,0,7,0,0,0,0,0,0,24,280
0,12,3,0,0,0,4,3,0,0,0,0,0,0,7,0,0,0,0,1,0,30,283
0,12,3,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,38,284
0,11,1,0,0,0,3,8,0,0,0,0,0,0,21,0,0,0,0,0,0,44,285
0,14,0,0,0,0,6,13,0,0,0,0,0,0,11,0,0,0,0,0,0,44,287
0,17,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,288
0,16,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,25,290
0,13,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,291
0,15,0,0,0,0,3,3,0,1,0,0,0,0,5,0,0,0,0,0,0,27,294
0,16,1,0,0,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,25,295
0,24,1,0,2,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,35,296
0,20,0,0,0,0,3,12,1,2,0,0,0,0,10,0,0,0,0,0,0,48,299
0,21,1,0,0,0,5,10,0,1,0,0,0,0,8,0,0,0,0,0,0,46,300
0,20,2,0,1,0,7,10,0,5,0,0,0,0,4,0,0,0,0,0,0,49,301
0,20,6,0,2,0,5,9,0,0,0,0,0,0,1,0,0,0,0,0,0,43,302
0,17,3,0,2,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,30,305
0,22,7,0,0,0,4,5,0,2,0,0,0,0,3,0,0,0,0,0,0,43,306
0,17,8,0,1,0,3,5,0,2,0,0,0,0,7,0,0,0,0,0,0,43,307
0,18,8,0,1,0,0,5,2,1,0,0,0,0,6,0,0,0,0,0,0,41,308
0,13,7,0,1,0,2,10,1,0,0,0,0,0,12,0,0,0,0,0,0,46,309
0,11,5,0,0,0,1,11,0,1,0,1,0,0,19,0,0,0,0,0,0,49,310
0,7,3,0,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,18,312
0,14,2,0,1,0,2,8,0,1,0,0,0,0,11,0,0,0,0,0,0,39,313
0,13,6,0,0,1,5,11,0,1,0,0,0,0,8,0,0,0,0,0,0,45,314
0,13,6,0,0,1,4,10,0,1,0,0,0,0,5,0,0,0,1,0,0,41,315
0,13,5,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,1,0,0,31,316
0,19,13,0,0,0,1,14,2,0,0,0,0,0,5,0,0,0,0,0,0,54,317
